track_name,track_artist,year,track_id,playlist_genre,Energy,Danceability,Valence,Acousticness,Instrumentalness,Tempo,decade
Slice of Heaven,Dave Dobbyn,2009,spotify:track:2DLkQzNRBgaAbCX4MscyTC,Rock,0.8214607579271673,0.8087044534412956,0.9758793969849247,0.19979598733106513,0.0,0.5605585715400183,00s
Stone,Cyrus Villanueva,2015,spotify:track:10pSiR20z5pY7a80uysJ3P,Pop,0.6609760459515877,0.6174089068825911,0.34673366834170855,0.024417100317369184,0.0,0.44513636175905064,10s
Tell Him (Duet with Barbra Streisand),"Barbra Streisand, Céline Dion",1997,spotify:track:1jeWrScZZuhw3b55T1fv4O,Rock,0.38113082944417026,0.26417004048583,0.07969849246231156,0.6286569020653618,0.0,0.3417097649061781,90s
The Nips Are Getting Bigger,Mental As Anything,1979,spotify:track:0uOKq55dztn2zNxpORp9F2,Rock,0.6910669294470088,0.8350202429149797,0.9698492462311558,0.03723247353413524,0.04730964467005076,0.6889079586807579,70s
Dance Wiv Me - Radio Edit,"Dizzee Rascal, Calvin Harris, Chrom3",2008,spotify:track:1XNvUrCop20hAWfROW1CoV,Hip Hop,0.661979075401435,0.8977732793522267,0.6964824120603015,0.04903876224564411,1.1573604060913706e-06,0.5140124728676123,00s
Love Shack - Edit; 2019 Remaster,The B-52's,1989,spotify:track:0LzeivEHO16a8eBQGlpVkE,Electronic,0.8304880229757937,0.7125506072874493,0.8703517587939699,0.11099655086843428,0.0,0.6126114550302185,80s
Country Grammar (Hot Shit),Nelly,2000,spotify:track:5pZrTiyyerSGHUJExDCOxZ,Hip Hop,0.6659911932008244,0.8755060728744939,0.5678391959798994,0.0069498475313675935,0.0,0.7472293988885472,00s
Instant Crush (feat. Julian Casablancas),"Daft Punk, Julian Casablancas",2013,spotify:track:2cGxRwrMyEAp8dEbuZaVv6,Electronic,0.5867518666628819,0.7844129554655871,0.5206030150753769,0.042580621411998226,0.6284263959390863,0.5045224470316135,10s
Michelle,The Overlanders,2015,spotify:track:1ezeinbhS1HhWzA8yQIzA7,Unknown,0.5085155695747867,0.5344129554655871,0.48844221105527635,0.7780014088434228,0.0,0.27996035114931184,10s
Things That Make You Go Hmmm,"C & C Music Factory, Freedom Williams",2015,spotify:track:56zrJ2upO5VssMnqowOZOH,Electronic,0.9338000563100733,0.8178137651821863,0.9748743718592965,0.11806014240523446,0.00015329949238578682,0.5200745251545341,10s
Hush Hush; Hush Hush / I Will Survive - Medley,The Pussycat Dolls,2009,spotify:track:2H9CKpZiLDF223BbwehpDF,Electronic,0.7803365504834251,0.6204453441295547,0.629145728643216,0.09939207905797684,0.0,0.5941958488020448,00s
Second Solution,The Living End,1999,spotify:track:1kj3ASwCuqDnzehRd3WIz3,Rock,0.9448333802583944,0.23076923076923078,0.9467336683417085,0.0066269404896853,0.0,0.9356853423155111,90s
You're The Best Thing,The Style Council,1984,spotify:track:0SZIQOLgjT6awjwInBsSjV,Rock,0.7251699307418195,0.611336032388664,0.6834170854271358,0.4359217615612426,4.020304568527919e-05,0.38297393914084976,80s
Super Love,Dami Im,2014,spotify:track:4AGkYEPy8SPf0JADQNsw2q,Pop,0.7362032546901406,0.5910931174089068,0.4834170854271357,0.013014445407963178,0.0,0.5830033086598779,10s
Love Is In The Air,John Paul Young,2009,spotify:track:3c4OULLWwgRqBfA2dJtRuY,Electronic,0.793375933331441,0.5637651821862348,0.8944723618090452,0.025628001723677785,0.0002730964467005076,0.56140294521208,00s
Forever Young,Youth Group,2006,spotify:track:3tFECpGckFpp0HpQje78gi,Unknown,0.6659911932008244,0.38360323886639675,0.30251256281407035,0.016848966527940417,0.0006893401015228426,0.5289817495973164,00s
For You (Fifty Shades Freed) (& Rita Ora),"Liam Payne, Rita Ora",2018,spotify:track:66xn6tB8s3l8uhj02OGneE,Electronic,0.7893638155320515,0.548582995951417,0.20100502512562815,0.016848966527940417,0.0,0.5185509813549444,10s
Bad Habits,Billy Field,2009,spotify:track:070QivFOnOdtVznpnrUMCO,Rock,0.6028003378604398,0.5718623481781376,0.7798994974874373,0.2976771843410105,0.0,0.7570957216870953,00s
I Wanna Do It with You,John Paul Young,2009,spotify:track:0a75KbBW12Hc8QtrD1gwAJ,Electronic,0.8946819077660257,0.7540485829959515,0.927638190954774,0.7658923947803369,0.008050761421319797,0.5939205095611552,00s
The Man,Taylor Swift,2019,spotify:track:3RauEVgRgj1IuWdJ9fDs70,Pop,0.6599730165017402,0.7864372469635628,0.6361809045226131,0.07739403684337055,0.0,0.5050088796905187,10s
Maria,P.J. Proby,1994,spotify:track:1ofagnzl7oj7z1MtwGesHX,Rock,0.2236552058181325,0.2165991902834008,0.18190954773869347,0.9233095776004552,0.0,0.4591970189938186,90s
Overkill,Men At Work,1981,spotify:track:3iA4foXIFpekwHyma7pRs1,Rock,0.8114304634286937,0.6538461538461539,0.5909547738693467,0.08617307203910793,0.0,0.6387870388641338,80s
Life Goes On,E^ST,2017,spotify:track:6XrWIKoIwqomse4ZmBnjQd,Rock,0.6068124556598293,0.7095141700404858,0.507537688442211,0.658929437223077,0.0,0.49087479865818007,10s
Stacy's Mom,Fountains Of Wayne,2003,spotify:track:27L8sESb3KR79asDUBu8nW,Rock,0.7522517258876986,0.7834008097165992,0.9316582914572865,0.00208606021602804,1.8071065989847715e-05,0.5415693418933244,00s
How Can We Be Lovers,Michael Bolton,1989,spotify:track:0ZUjPkZKjzRi6bgIuJovfY,Rock,0.7101244889941088,0.40384615384615385,0.6914572864321608,0.11906922691049161,0.0,0.95186611170513,80s
Teenage Crime,Adrian Lux,2012,spotify:track:46LTPfvrxlgNLyIGBup4O2,Unknown,0.8455334647235043,0.6548582995951417,0.32964824120603015,0.019371677791083338,0.6964467005076143,0.5874592153749432,10s
Danza Kuduro,"Don Omar, Lucenzo",2010,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,Hip Hop,0.9177515851125154,0.40485829959514175,0.8753768844221106,0.08375126922649072,0.0,0.4084474079104964,10s
Buy Me A Pony,Spiderbait,2005,spotify:track:1iola53QSlUVnceCbxr15K,Rock,0.9378121741094628,0.4908906882591093,0.9748743718592965,0.0018438799347663196,0.8862944162436548,0.7270194986072422,00s
You're so Vain,Chocolate Starfish,2017,spotify:track:3PfERRzizJqTx0fuRmBgtH,Rock,0.8465364941733518,0.6821862348178138,0.5979899497487436,0.11705105789997729,0.005319796954314721,0.49509666701848903,10s
Got to Get It,Culture Beat,1993,spotify:track:0C3nGIOCvSsRwc0zpAJ9Db,Electronic,0.9117334084134311,0.6761133603238867,0.5437185929648242,0.0007086598663520045,0.04548223350253807,0.6097158040135283,90s
Angels Like You,Miley Cyrus,2020,spotify:track:0QdePZJfBpRIBautuT4FSx,Pop,0.6439245453041822,0.6801619433198381,0.4964824120603015,0.09898844525587397,0.0,0.5597692657161344,20s
Circles on the Water,Samantha Jade,2017,spotify:track:2EnaF6Nll7GTSAyaXvd2qW,Pop,0.5847458077631871,0.618421052631579,0.264321608040201,0.11402380438420578,3.461928934010153e-05,0.527582108456127,10s
Playboy,The Marvelettes,1962,spotify:track:3xgKCfRwbqie54nHtSLnhM,R&B,0.7041063122950246,0.8775303643724697,0.9437185929648241,0.3592313391616978,0.0,0.5683093711710636,60s
Part-Time Lover,Stevie Wonder,1985,spotify:track:0ErrsvDylBWZeAUYbqLllv,R&B,0.6258700152069295,0.6700404858299596,0.9658291457286432,0.16649619865757856,0.0,0.8008379490897743,80s
Night of My Life,Damien Leith,2006,spotify:track:5lm8SfB4FoPbUcSDKTO8c4,Pop,0.5606731009668502,0.42105263157894735,0.2834170854271357,0.003438233453072646,0.0,0.771601510694635,00s
911,Lady Gaga,2020,spotify:track:6qI0MU175Dk2DeoUjlrOpy,Electronic,0.8154425812280831,0.798582995951417,0.4221105527638191,0.02966433974470646,2.101522842639594e-06,0.5323546552982154,20s
Total Eclipse of the Heart,Bonnie Tyler,1989,spotify:track:3Pas9u4vk4hKEIa5OtKRFF,Rock,0.645930604203877,0.4331983805668016,0.1135678391959799,0.2068595788678653,0.0,0.5939618104472885,80s
Don't Pay The Ferryman,Chris de Burgh,1982,spotify:track:7L4NzRGuukFbw4pRylIjlN,Rock,0.7231638718421247,0.5414979757085021,0.7969849246231157,0.12411464943677747,0.00018781725888324872,0.6975077209712133,80s
Ain't No Mountain High Enough,"Marvin Gaye, Tammi Terrell",1967,spotify:track:1LeWIs2hP2r5yOQnVuYoI5,R&B,0.6017973084105925,0.6710526315789475,0.8040201005025126,0.4339035925507283,0.0,0.5965270543749112,60s
It's Too Late,Evermore,2004,spotify:track:6XZpVCFrDf2XMtyaX1Wst0,Rock,0.7161426656931932,0.5455465587044535,0.5949748743718593,0.049341487597221255,0.0006030456852791879,0.6381216356986503,00s
You Don't Have to Say You Love Me,Elvis Presley,2007,spotify:track:2DUbzMIzQz7k28KKF2fpgo,Rock,0.5646852187662397,0.3248987854251012,0.6904522613065327,0.5943480288866181,0.003928934010152285,0.5314643917526719,00s
Inside Out (feat. Griff),"Zedd, Griff",2020,spotify:track:6IiCb4PCrDgqLuDWgHhFi7,Electronic,0.6850487527479246,0.6477732793522267,0.4020100502512563,0.17053253667860724,0.0,0.670258314097828,20s
Fingertips - Original Studio Version,Stevie Wonder,1962,spotify:track:0Oc2t0ffBfnFKthTFB87zZ,R&B,0.6980881355959404,0.5273279352226721,0.8603015075376884,0.6024207049286755,5.035532994923858e-05,0.36684823759940893,60s
I Go To Rio,Peter Allen,1976,spotify:track:4vHMbItY3W8VfxFuH2kQn6,Rock,0.9047122022644994,0.555668016194332,0.770854271356784,0.10796929735266277,0.059086294416243655,0.6261627346693406,70s
